,Unnamed: 0.1,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
27,540.0,2018,2018,101162203490.0,Otto Porter Jr.,2.69,1.05,74.0,104.3,1.64,40.0,28.0
32,541.0,2018,2018,203078203490.0,Bradley Beal,3.91,1.04,74.0,104.31,2.87,13.0,7.0
33,540.0,2018,2018,203078203490.0,Otto Porter Jr.,3.91,1.04,74.0,104.31,2.87,13.0,7.0
34,541.0,2018,2018,101162203078.0,Bradley Beal,1.65,1.24,53.0,104.29,0.41,159.0,67.0
35,540.0,2018,2018,101162203078.0,Marcin Gortat,1.65,1.24,53.0,104.29,0.41,159.0,67.0
36,540.0,2018,2018,201583201935.0,Ryan Anderson,1.9,-1.37,503.0,104.38,3.27,9.0,58.0
37,541.0,2018,2018,201583201935.0,James Harden,1.9,-1.37,503.0,104.38,3.27,9.0,58.0
38,540.0,2018,2018,202083203084.0,Wesley Matthews,-3.04,-2.24,531.0,104.31,-0.8,431.0,530.0
39,541.0,2018,2018,202083203084.0,Harrison Barnes,-3.04,-2.24,531.0,104.31,-0.8,431.0,530.0
44,541.0,2018,2018,203460203500.0,Andre Roberson,3.47,3.49,2.0,104.24,-0.02,249.0,11.0
